date,id,habitat,site,video.file,time,species,tl,bite_on,bites
1.12.17,9,Flat,South,GP010001,,Stegastes apicalis,10,Turf,1
1.12.17,9,Flat,South,GP020001,0:26:14,Stegastes apicalis,10,Turf,1
1.12.17,9,Flat,South,GP030001,0:26:14,Stegastes apicalis,10,Turf,1
1.12.17,9,Flat,South,GP040001,0:26:14,,,,
1.12.17,9,Flat,South,GP050001,0:26:14,Stegastes apicalis,10,Propagules,1
1.12.17,9,Flat,South,GP060001,0:26:14,Stegastes apicalis,10,Propagules,1
1.12.17,9,Flat,South,GP060001,,Stegastes apicalis,10,Propagules,1
1.12.17,10,Flat,South,GOPR0162,0:26:31,,,,
1.12.17,10,Flat,South,GP010162,0:26:31,,,,
1.12.17,10,Flat,South,GP020162,0:26:31,,,,
1.12.17,10,Flat,South,GP030162,0:26:31,,,,
1.12.17,10,Flat,South,GP040162,0:26:31,,,,
1.12.17,10,Flat,South,GP050162,0:26:31,,,,
1.12.17,10,Flat,South,GP060162,0:26:31,,,,
1.12.17,11,Crest,Bird,GOPR0021,0:26:31,,,,
1.12.17,11,Crest,Bird,GP010021,0:26:31,,,,
1.12.17,11,Crest,Bird,GP020021,0:26:31,,,,
1.12.17,11,Crest,Bird,GP030021,0:26:31,Ecsenius stictus,3,Propagules,3
1.12.17,11,Crest,Bird,GP030021,,Ecsenius stictus,3,Turf,5
1.12.17,11,Crest,Bird,GP030021,,Ecsenius stictus,3,Turf,10
1.12.17,11,Crest,Bird,GP040021,0:26:31,Ecsenius stictus,3,Turf,12
1.12.17,11,Crest,Bird,GP040021,,Ecsenius stictus,3,Turf,14
1.12.17,11,Crest,Bird,GP050021,0:26:31,Ecsenius stictus,3,Turf,5
1.12.17,11,Crest,Bird,GP050021,,Ecsenius stictus,1,Turf,5
1.12.17,11,Crest,Bird,GP060021,0:17:25,Ecsenius stictus,3,Turf,7
1.12.17,12,Crest,Bird,GOPR0001,0:26:16,Ecsenius stictus,3,Propagules,1
1.12.17,12,Crest,Bird,GP010001,0:26:16,Ctenochaetis striatus,10,Propagules,1
1.12.17,12,Crest,Bird,GP020001,0:26:16,Ctenochaetis striatus,10,Propagules,2
1.12.17,12,Crest,Bird,GP020001,,Scarus schlegeli,25,Propagules,21
1.12.17,12,Crest,Bird,GP020001,,Scarus schlegeli,25,Turf,51
1.12.17,12,Crest,Bird,GP030001,0:26:16,Ctenochaetus striatus,10,Propagules,5
1.12.17,12,Crest,Bird,GP030001,,Ecsenius stictus,2,Turf,8
1.12.17,12,Crest,Bird,GP030001,,Ctenochaetus striatus,10,Propagules,7
1.12.17,12,Crest,Bird,GP030001,,Scarus schlegeli,25,Propagules,4
1.12.17,12,Crest,Bird,GP030001,,Scarus schlegeli,25,Turf,8
1.12.17,12,Crest,Bird,GP030001,,Ctenochaetus striatus,10,Propagules,2
1.12.17,12,Crest,Bird,GP030001,,Scarus schlegeli,25,Propagules,26
1.12.17,12,Crest,Bird,GP030001,,Ctenochaetus striatus,10,Turf,3
1.12.17,12,Crest,Bird,GP030001,,Scarus schlegeli,25,Turf,6
1.12.17,12,Crest,Bird,GP040001,0:26:16,Ctenochaetus striatus,10,Propagules,4
1.12.17,12,Crest,Bird,GP040001,,Ctenochaetus striatus,10,Turf,1
1.12.17,12,Crest,Bird,GP040001,,Scarus schlegeli,25,Propagules,17
1.12.17,12,Crest,Bird,GP040001,,Scarus schlegeli,25,Turf,50
1.12.17,12,Crest,Bird,GP040001,,Scarus schlegeli,25,Turf,21
1.12.17,12,Crest,Bird,GP040001,,Scarus schlegeli,25,Propagules,4
1.12.17,12,Crest,Bird,GP050001,0:26:16,Scarus schlegeli,25,Propagules,6
1.12.17,12,Crest,Bird,GP050001,,Scarus schlegeli,25,Turf,22
1.12.17,12,Crest,Bird,GP050001,,Ctenochaetus striatus,10,Turf,4
1.12.17,12,Crest,Bird,GP050001,,Scarus schlegeli,25,Propagules,22
1.12.17,12,Crest,Bird,GP050001,,Scarus schlegeli,25,Turf,36
1.12.17,12,Crest,Bird,GP050001,,Ctenochaetus striatus,10,Propagules,1
1.12.17,12,Crest,Bird,GP060001,0:13:12,Ecsenius stictus,2,Turf,11
1.12.17,14,Crest,Bird,GOPR7337,0:26:31,,,,
1.12.17,14,Crest,Bird,GP017337,0:26:31,Ecsenius stictus,3,Turf,1
1.12.17,14,Crest,Bird,GP027337,0:26:31,,,,
1.12.17,14,Crest,Bird,GP037337,0:26:31,,,,
1.12.17,14,Crest,Bird,GP047337,0:26:31,Ecsenius stictus,3,Propagules,7
1.12.17,14,Crest,Bird,GP057337,0:26:31,Scarus schlegeli,25,Propagules,39
1.12.17,14,Crest,Bird,GP057337,,Scarus schlegeli,25,Turf,22
1.12.17,14,Crest,Bird,GP057337,,Scarus schlegeli,25,Propagules,22
1.12.17,14,Crest,Bird,GP057337,,Scarus schlegeli,25,Turf,21
1.12.17,14,Crest,Bird,GP057337,,Scarus schlegeli,25,Turf,11
1.12.17,14,Crest,Bird,GP057337,,Scarus schlegeli,25,Propagules,21
1.12.17,14,Crest,Bird,GP057337,,Scarus schlegeli,25,Turf,7
1.12.17,14,Crest,Bird,GP057337,,Scarus schlegeli,25,Propagules,6
1.12.17,14,Crest,Bird,GP067337,0:14:32,Scarus schlegeli,25,Turf,16
1.12.17,14,Crest,Bird,GP067337,,Scarus schlegeli,25,Propagules,26
1.12.17,14,Crest,Bird,GP067337,,Scarus schlegeli,25,Turf,22
1.12.17,14,Crest,Bird,GP067337,,Scarus schlegeli,25,Propagules,13
1.12.17,14,Crest,Bird,GP067337,,Scarus schlegeli,25,Turf,12
1.12.17,15,Crest,Bird,GOPR0008,0:26:31,Scarus schlegeli,25,Turf,13
1.12.17,15,Crest,Bird,GOPR0008,,Scarus schlegeli,25,Propagules,10
1.12.17,15,Crest,Bird,GOPR0008,,Scarus schlegeli,25,Turf,20
1.12.17,15,Crest,Bird,GOPR0008,,Scarus schlegeli,25,Turf,3
1.12.17,15,Crest,Bird,GOPR0008,,Ctenochaetus striatus,11,Propagules,16
1.12.17,15,Crest,Bird,GOPR0008,,Ctenochaetus striatus,11,Turf,3
1.12.17,15,Crest,Bird,GP010008,0:26:31,Ctenochaetus striatus,11,Propagules,2
1.12.17,15,Crest,Bird,GP010008,,Scarus schlegeli,25,Turf,1
1.12.17,15,Crest,Bird,GP010008,,Ctenochaetus striatus,11,Propagules,5
1.12.17,15,Crest,Bird,GP010008,,Ctenochaetus striatus,11,Turf,3
1.12.17,15,Crest,Bird,GP010008,,Scarus schlegeli,25,Propagules,11
